Name-CN,Name-EN,图标分类-CN,图标分类-EN,图标预览,图标标签,UI 设计负责人,预计完成时间
AirPlay,airplay,常用图标,Base,airplay.svg (https://dl.airtable.com/.attachments/17fcc9285669fa224402dc41011b3818/88d5b383/airplay.svg),屏幕映像，无线投屏,常留留 常,2019-05-30
加载,loading,常用图标,Base,loading.svg (https://dl.airtable.com/.attachments/79c9ca54c8594de915868f1d89fa4a5a/53cfa8a2/loading.svg),等待，加载，转圈,常留留 常,2019-03-21
分享,share,常用图标,Base,share.svg (https://dl.airtable.com/.attachments/df921b050b3ab531b8462b6f263ba034/4dbb8cce/share.svg),分享，转发，跳转，新窗口打开，窗口，浏览器，打开,刘心乐,2019-03-21
裁切,cutting,常用图标,Base,cutting1.svg (https://dl.airtable.com/.attachments/34f84db6a037dabdfd3ba8f4b3bc1ac3/37b1f843/cutting1.svg),裁剪，剪切，编辑,齐 奉飞,2019-03-19
风车,windmill,常用图标,Base,windmill.svg (https://dl.airtable.com/.attachments/7b3cbcc550360d289fa3e9651e2e03b7/bfa53290/windmill.svg),风车，纸风车，旋转，快速,齐 奉飞,2019-05-29
无线网络,wifi,常用图标,Base,wifi.svg (https://dl.airtable.com/.attachments/b1faf2dc38f6473d22cc4cd84ff99a5e/38902274/wifi.svg),Wi-Fi，无线网，网络，信号,齐 奉飞,2019-05-27
关闭无线网络,close-wifi,常用图标,Base,close-wifi.svg (https://dl.airtable.com/.attachments/d4b4fbc7d00684d9476735d4707bd80e/9f5d2807/close-wifi.svg),Wi-Fi，无线网，网络，信号，关闭,常留留 常,2020-01-17
广播,broadcast,常用图标,Base,broadcast.svg (https://dl.airtable.com/.attachments/dc62213c9156b4de4715417d1c9686aa/48b40e1a/broadcast.svg),投射，发射，辐射，分享,常留留 常,2019-05-30
语音信息,voicemail,声音,Music,voicemail.svg (https://dl.airtable.com/.attachments/a0fcc3511de4e9825cc2dae6ea74672a/39ad16f4/voicemail.svg),录音，磁带，语音，语音短信,常留留 常,2019-05-30
蓝牙,bluetooth,常用图标,Base,bluetooth.svg (https://dl.airtable.com/.attachments/5ade95b748391d3180b73f9648501424/18cfd32a/bluetooth.svg),蓝牙，设备，无线连接,齐 奉飞,2019-05-27
关闭蓝牙,turn-off-bluetooth,常用图标,Base,turn-off-bluetooth.svg (https://dl.airtable.com/.attachments/aab6b35d51df0a9f9ebbe0c607a48a66/11fabd02/turn-off-bluetooth.svg),蓝牙，设备，无线连接，关闭,常留留 常,2019-11-22
礼物,gift,常用图标,Base,gift.svg (https://dl.airtable.com/.attachments/f8da277523d3a5ec9996beb55ab7a3e2/082ff51d/gift.svg),礼盒，礼品，惊喜,齐 奉飞,2019-05-29
锚点,anchor-one,连接,Connect,anchor2.svg (https://dl.airtable.com/.attachments/ff7bc4cec424589abb83db656dc3b0fd/f8070e7a/anchor2.svg),曲线，贝塞尔，可编辑，锚点,齐 奉飞,2019-05-30
锚点,anchor,连接,Connect,编组.svg (https://dl.airtable.com/.attachments/db809bbca311dd3ffbb92d2f05b93a97/eeac3f76.svg),选中，锚点，可编辑，操作,齐 奉飞,2019-05-30
音乐,music,声音,Music,music1.svg (https://dl.airtable.com/.attachments/5e35aba660a03cff55dcf0a720a6ba90/aa5d7ada/music1.svg),音乐，乐符，歌曲，歌声，播放,常留留 常,2019-03-21
播放,play-one,常用图标,Base,play2.svg (https://dl.airtable.com/.attachments/bbb5578fffeaf279a88255ad02c2e6c6/4908e8c6/play2.svg),视频，播放，播放器，媒体,齐 奉飞,2019-03-19
暂停,pause,常用图标,Base,pause1.svg (https://dl.airtable.com/.attachments/95673ae1115ac3746574fd6654400d52/cca4fdc9/pause1.svg),停止播放，暂停,常留留 常,2019-03-19
